symbol,first_seen,last_seen,observation_count,coverage_days,min_ess_5pt,max_ess_5pt,first_ess_5pt,last_ess_5pt,ess_delta,ess_std_dev
A,2025-10-29,2026-06-01,25,215,2,5,2,4,2,0.6248
AA,2025-10-19,2026-06-01,20,225,2,5,5,2,-3,0.8944
AAL,2025-10-29,2026-06-01,19,215,1,4,3,4,1,0.8487
AAMI,2025-08-18,2026-06-01,21,287,3,5,5,3,-2,0.794
AAOI,2026-03-10,2026-06-01,17,83,1,2,1,1,0,0.4556
AAON,2026-03-10,2026-06-01,17,83,1,4,2,4,2,0.9375
AAP,2026-03-10,2026-06-01,17,83,2,4,3,3,0,0.4706
AAPL,2025-10-29,2026-06-01,19,215,3,5,4,4,0,0.4588
AAT,2025-10-19,2026-06-01,19,225,2,4,4,3,-1,0.5813
AB,2025-08-18,2026-06-01,21,287,1,5,5,1,-4,1.0942
ABBV,2025-08-18,2026-06-01,23,287,3,5,5,5,0,0.5866
ABCB,2025-08-18,2026-06-01,24,287,2,5,5,4,-1,0.7535
ABEO,2025-10-19,2026-06-01,21,225,2,4,4,3,-1,0.5594
ABEV,2025-10-19,2026-06-01,24,225,2,5,5,3,-2,0.866
ABG,2025-08-18,2026-06-01,22,287,2,5,5,3,-2,0.7781
ABM,2025-10-29,2026-06-01,19,215,3,4,4,3,-1,0.2233
ABNB,2025-12-11,2026-06-01,19,172,2,4,3,3,0,0.521
ABR,2025-10-19,2026-06-01,21,225,2,4,4,4,0,0.526
ABSI,2026-05-26,2026-06-01,2,6,1,2,1,2,1,0.5
ABT,2025-08-18,2026-06-01,19,287,3,4,4,3,-1,0.3069
ABUS,2025-10-29,2026-06-01,18,215,2,4,3,4,1,0.6503
ABX,2026-05-20,2026-06-01,3,12,3,4,3,4,1,0.4714
ACA,2025-08-18,2026-06-01,19,287,1,5,5,3,-2,1.0889
ACAD,2025-08-25,2026-06-01,19,280,3,5,4,3,-1,0.4881
ACCO,2025-10-29,2026-06-01,22,215,2,4,4,3,-1,0.5768
ACDC,2026-05-20,2026-06-01,3,12,4,4,4,4,0,0.0
ACEL,2025-08-18,2026-05-20,19,275,3,5,5,5,0,0.8188
ACGL,2025-11-18,2026-06-01,32,195,3,5,4,4,0,0.6818
ACH,2026-03-10,2026-06-01,17,83,2,5,3,5,2,1.029
ACHR,2026-03-10,2026-06-01,13,83,1,2,1,2,1,0.4865
ACI,2026-03-10,2026-06-01,18,83,1,4,2,1,-1,0.6211
ACIC,2026-05-20,2026-06-01,3,12,4,5,5,4,-1,0.4714
ACIU,2025-10-29,2026-05-20,16,203,2,3,2,2,0,0.5
ACIW,2025-08-18,2026-06-01,22,287,3,5,5,3,-2,0.6556
ACLS,2025-10-29,2026-06-01,19,215,2,4,4,2,-2,0.6138
ACM,2025-08-18,2026-06-01,23,287,2,5,5,3,-2,1.2033
ACMR,2025-08-18,2026-06-01,19,287,2,4,4,2,-2,0.5908
ACN,2025-08-18,2026-06-01,24,287,2,5,5,2,-3,1.2353
ACNB,2025-11-18,2026-06-01,23,195,3,5,4,4,0,0.621
ACRE,2025-08-18,2026-05-20,22,275,3,4,4,3,-1,0.4658
ACRS,2026-03-10,2026-06-01,17,83,2,3,3,2,-1,0.2353
ACT,2025-08-18,2026-06-01,33,287,4,5,5,4,-1,0.3857
ACTG,2026-03-10,2026-06-01,17,83,2,3,2,2,0,0.3812
ACU,2025-08-18,2026-06-01,35,287,4,5,4,4,0,0.4899
ACVA,2026-05-20,2026-06-01,3,12,2,2,2,2,0,0.0
AD,2026-03-10,2026-06-01,17,83,1,3,3,3,0,0.4706
ADAM,2026-03-10,2026-06-01,17,83,3,3,3,3,0,0.0
ADBE,2025-08-18,2026-06-01,24,287,3,5,5,3,-2,0.7592
ADC,2025-12-11,2026-06-01,18,172,1,4,3,2,-1,0.8333
