symbol,ucf_label,ucf_score,ucf_rank,conflict_flags,narrative_tier,anchor_rank,strategic_classification,trim_score,deployment_eligible,deployment_blocked,deployment_rank,signal_direction,composite_score,ess,replay_supported,replay_percentile,weight_pct,is_overweight
VRT,CORE_CONVICTION_LEADER,91.17,1,,CORE_CONVICTION_LEADER,2,HIGH_CONVICTION_RETAIN,1.62,True,False,2,BULLISH,4.555556,VERY_BULLISH,True,,3.6019,False
AEIS,CORE_CONVICTION_LEADER,90.39,2,,CORE_CONVICTION_LEADER,17,HIGH_CONVICTION_RETAIN,1.09,True,False,1,BULLISH,4.714286,,True,,2.4216,False
ARW,HIGH_CONVICTION_ANCHOR,92.76,3,,HIGH_CONVICTION_ANCHOR,4,HIGH_CONVICTION_RETAIN,0.41,True,False,3,BULLISH,4.888889,VERY_BULLISH,True,,0.9169,False
SNX,HIGH_CONVICTION_ANCHOR,92.19,4,,HIGH_CONVICTION_ANCHOR,6,HIGH_CONVICTION_RETAIN,0.39,True,False,4,BULLISH,4.777778,VERY_BULLISH,True,,0.8646,False
ATLC,HIGH_CONVICTION_ANCHOR,92.14,5,,HIGH_CONVICTION_ANCHOR,5,HIGH_CONVICTION_RETAIN,0.4,True,False,5,BULLISH,4.777778,VERY_BULLISH,True,,0.8894,False
PSX,HIGH_CONVICTION_ANCHOR,92.05,6,,HIGH_CONVICTION_ANCHOR,8,HIGH_CONVICTION_RETAIN,0.34,True,False,6,BULLISH,4.722222,VERY_BULLISH,True,,0.7483,False
CAH,HIGH_CONVICTION_ANCHOR,90.53,7,,HIGH_CONVICTION_ANCHOR,10,HIGH_CONVICTION_RETAIN,0.48,True,False,7,BULLISH,4.555556,VERY_BULLISH,True,,1.0561,False
AVT,HIGH_CONVICTION_ANCHOR,90.42,8,,HIGH_CONVICTION_ANCHOR,12,HIGH_CONVICTION_RETAIN,0.42,True,False,8,BULLISH,4.5,VERY_BULLISH,True,,0.9256,False
LRCX,HIGH_CONVICTION_ANCHOR,90.37,9,,HIGH_CONVICTION_ANCHOR,11,HIGH_CONVICTION_RETAIN,0.43,True,False,9,BULLISH,4.5,VERY_BULLISH,True,,0.954,False
DELL,HIGH_CONVICTION_ANCHOR,89.75,10,,HIGH_CONVICTION_ANCHOR,7,HIGH_CONVICTION_RETAIN,0.59,True,False,10,BULLISH,4.5,VERY_BULLISH,True,,1.3176,False
PCB,HIGH_CONVICTION_ANCHOR,89.05,11,,HIGH_CONVICTION_ANCHOR,13,HIGH_CONVICTION_RETAIN,0.43,True,False,12,BULLISH,4.277778,VERY_BULLISH,True,,0.9448,False
CBOE,HIGH_CONVICTION_ANCHOR,88.43,12,,HIGH_CONVICTION_ANCHOR,15,HIGH_CONVICTION_RETAIN,0.33,True,False,13,BULLISH,4.111111,VERY_BULLISH,True,,0.7234,False
SANM,HIGH_CONVICTION_ANCHOR,88.4,13,,HIGH_CONVICTION_ANCHOR,23,HIGH_CONVICTION_RETAIN,0.3,True,False,11,BULLISH,4.714286,,True,,0.6617,False
ALNT,HIGH_CONVICTION_ANCHOR,87.4,14,,HIGH_CONVICTION_ANCHOR,29,HIGH_CONVICTION_RETAIN,0.07,True,False,15,BULLISH,3.777778,BULLISH,True,,0.158,False
MTZ,HIGH_CONVICTION_ANCHOR,87.26,15,,HIGH_CONVICTION_ANCHOR,28,HIGH_CONVICTION_RETAIN,0.11,True,False,16,BULLISH,3.777778,BULLISH,True,,0.2346,False
CRS,HIGH_CONVICTION_ANCHOR,87.17,16,,HIGH_CONVICTION_ANCHOR,31,HIGH_CONVICTION_RETAIN,0.04,True,False,17,BULLISH,3.722222,BULLISH,True,,0.0975,False
GFF,HIGH_CONVICTION_ANCHOR,87.03,17,,HIGH_CONVICTION_ANCHOR,25,HIGH_CONVICTION_RETAIN,0.17,True,False,18,BULLISH,3.777778,BULLISH,True,,0.374,False
CMCO,HIGH_CONVICTION_ANCHOR,86.94,18,,HIGH_CONVICTION_ANCHOR,32,HIGH_CONVICTION_RETAIN,0.02,True,False,20,BULLISH,3.666667,BULLISH,True,,0.0343,False
CIEN,HIGH_CONVICTION_ANCHOR,86.68,19,,HIGH_CONVICTION_ANCHOR,20,HIGH_CONVICTION_RETAIN,0.53,True,False,14,BULLISH,4.571429,,True,,1.169,False
FSLR,HIGH_CONVICTION_ANCHOR,86.24,20,,HIGH_CONVICTION_ANCHOR,24,HIGH_CONVICTION_RETAIN,0.29,True,False,22,BULLISH,3.722222,BULLISH,True,,0.6375,False
ANGO,HIGH_CONVICTION_ANCHOR,86.23,21,,HIGH_CONVICTION_ANCHOR,19,HIGH_CONVICTION_RETAIN,0.38,True,False,21,BULLISH,3.777778,BULLISH,True,,0.8379,False
UHS,HIGH_CONVICTION_ANCHOR,85.89,22,,HIGH_CONVICTION_ANCHOR,34,HIGH_CONVICTION_RETAIN,0.12,True,False,23,BULLISH,3.555556,BULLISH,True,,0.2567,False
AGEN,HIGH_CONVICTION_ANCHOR,85.88,23,,HIGH_CONVICTION_ANCHOR,37,HIGH_CONVICTION_RETAIN,0.03,True,False,24,BULLISH,3.5,BULLISH,True,,0.0705,False
NUE,HIGH_CONVICTION_ANCHOR,85.62,24,,HIGH_CONVICTION_ANCHOR,35,HIGH_CONVICTION_RETAIN,0.35,True,False,19,BULLISH,4.285714,,True,,0.7871,False
UTHR,HIGH_CONVICTION_ANCHOR,85.59,25,,HIGH_CONVICTION_ANCHOR,36,HIGH_CONVICTION_RETAIN,0.11,True,False,27,BULLISH,3.5,BULLISH,True,,0.2366,False
HALO,HIGH_CONVICTION_ANCHOR,85.44,26,,HIGH_CONVICTION_ANCHOR,26,HIGH_CONVICTION_RETAIN,0.32,True,False,26,BULLISH,3.611111,BULLISH,True,,0.7161,False
STLD,HIGH_CONVICTION_ANCHOR,85.39,27,,HIGH_CONVICTION_ANCHOR,30,HIGH_CONVICTION_RETAIN,0.25,True,False,28,BULLISH,3.555556,BULLISH,True,,0.5494,False
AZZ,HIGH_CONVICTION_ANCHOR,85.25,28,,HIGH_CONVICTION_ANCHOR,33,HIGH_CONVICTION_RETAIN,0.2,True,False,31,BULLISH,3.5,BULLISH,True,,0.437,False
DVN,HIGH_CONVICTION_ANCHOR,85.06,29,,HIGH_CONVICTION_ANCHOR,22,HIGH_CONVICTION_RETAIN,0.42,True,False,30,BULLISH,3.611111,BULLISH,True,,0.9387,False
ANIP,HIGH_CONVICTION_ANCHOR,84.88,30,,HIGH_CONVICTION_ANCHOR,27,HIGH_CONVICTION_RETAIN,0.38,True,False,32,BULLISH,3.555556,BULLISH,True,,0.8512,False
BSVN,HIGH_CONVICTION_ANCHOR,84.28,31,,HIGH_CONVICTION_ANCHOR,43,HIGH_CONVICTION_RETAIN,0.25,True,False,25,BULLISH,4.0,,True,,0.564,False
MU,HIGH_CONVICTION_ANCHOR,82.5,32,,CORE_CONVICTION_LEADER,1,HIGH_CONVICTION_RETAIN,2.76,True,True,37,BULLISH,4.722222,VERY_BULLISH,True,,6.1396,False
ASML,HIGH_CONVICTION_ANCHOR,81.0,33,CONVICTION_OW_TENSION,HIGH_CONVICTION_ANCHOR,14,HIGH_CONVICTION_RETAIN,11.81,True,True,35,BULLISH,4.722222,VERY_BULLISH,True,,0.6886,True
CVE,HIGH_CONVICTION_ANCHOR,78.96,34,CONVICTION_OW_TENSION,CORE_CONVICTION_LEADER,3,HIGH_CONVICTION_RETAIN,12.61,True,True,33,BULLISH,4.888889,VERY_BULLISH,True,,2.4674,True
STNG,HIGH_CONVICTION_ANCHOR,77.59,35,CONVICTION_OW_TENSION,HIGH_CONVICTION_ANCHOR,38,HIGH_CONVICTION_RETAIN,11.71,True,True,38,BULLISH,4.714286,,True,,0.4666,True
SIMO,HIGH_CONVICTION_ANCHOR,77.03,36,CONVICTION_OW_TENSION,HIGH_CONVICTION_ANCHOR,42,HIGH_CONVICTION_RETAIN,11.63,True,True,39,BULLISH,4.571429,,True,,0.2914,True
TSM,HIGH_CONVICTION_ANCHOR,76.53,37,CONVICTION_OW_TENSION,CORE_CONVICTION_LEADER,9,HIGH_CONVICTION_RETAIN,12.55,True,True,34,BULLISH,4.444444,VERY_BULLISH,True,,2.3282,True
AVGO,HIGH_CONVICTION_ANCHOR,76.26,38,CONVICTION_OW_TENSION,HIGH_CONVICTION_ANCHOR,21,HIGH_CONVICTION_RETAIN,11.92,True,True,40,BULLISH,4.0,BULLISH,True,,0.9311,True
GTX,HIGH_CONVICTION_ANCHOR,73.86,39,CONVICTION_OW_TENSION,HIGH_CONVICTION_ANCHOR,18,HIGH_CONVICTION_RETAIN,12.37,True,True,41,BULLISH,3.888889,BULLISH,True,,1.9393,True
NVDA,HIGH_CONVICTION_ANCHOR,73.04,40,CONVICTION_OW_TENSION,CORE_CONVICTION_LEADER,16,HIGH_CONVICTION_RETAIN,12.94,True,True,36,BULLISH,4.111111,BULLISH,True,,3.1966,True
SBS,HIGH_CONVICTION_ANCHOR,64.68,41,CONVICTION_OW_TENSION,HIGH_CONVICTION_ANCHOR,40,HIGH_CONVICTION_RETAIN,24.72,True,True,43,BULLISH,3.714286,,True,,3.833,True
YELP,DEPLOYMENT_CANDIDATE,80.36,42,,HIGH_CONVICTION_ANCHOR,39,HIGH_CONVICTION_RETAIN,0.08,True,False,29,BULLISH,3.444444,BULLISH,True,,0.181,False
XYZ,TACTICAL_GROWTH,62.44,43,,TACTICAL_GROWTH_CANDIDATE,44,TACTICAL_GROWTH,7.36,False,False,,NEUTRAL,2.833333,NEUTRAL,True,,0.7947,False
PRG,TACTICAL_GROWTH,61.0,44,REPLAY_LOSS|SIGNAL_TIER_MISMATCH,TACTICAL_GROWTH_CANDIDATE,45,TACTICAL_GROWTH,10.35,False,False,,BULLISH,4.722222,VERY_BULLISH,False,,0.7772,False
